,file,vols
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-306587/func/sub-306587_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200156/func/sub-200156_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200156/func/sub-200156_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200156/func/sub-200156_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200156/func/sub-200156_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100062/func/sub-100062_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200156/func/sub-200156_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100180/func/sub-100180_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100180/func/sub-100180_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100180/func/sub-100180_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100180/func/sub-100180_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100180/func/sub-100180_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100180/func/sub-100180_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-406989/func/sub-406989_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-406989/func/sub-406989_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-406989/func/sub-406989_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-406989/func/sub-406989_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-406989/func/sub-406989_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200148/func/sub-200148_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200156/func/sub-200156_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100143/func/sub-100143_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100062/func/sub-100062_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100062/func/sub-100062_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100143/func/sub-100143_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-100143/func/sub-100143_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200133/func/sub-200133_task-machinegame_run-05_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200133/func/sub-200133_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200133/func/sub-200133_task-machinegame_run-02_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200133/func/sub-200133_task-machinegame_run-04_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200133/func/sub-200133_task-machinegame_run-06_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-200133/func/sub-200133_task-machinegame_run-03_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-308023/func/sub-308023_task-machinegame_run-01_bold.nii.gz,216
0,/oak/stanford/groups/russpold/data/ds000054/0.0.2/sub-308023/func/sub-308023_task-machinegame_run-03_bold.nii.gz,216
